,nodeid,iccid_x,res_time_start_s,res_time_end_s,gps_lat,gps_long,gps_speed,res_dl_throughput_kbps,res_ul_throughput_kbps,res_rtt_tcp_payload_client_ns,res_rtt_tcp_payload_server_ns,apu,route_id,segment_id,segment_lat,segment_long,route_desc,ts_start,ts_end,iccid_y,total_measurement_duration,dl_test_duration,imsimccmnc,nwmccmnc,cid_changes,enodebid_changes,devicemode_changes,devicesubmode_changes,rsrp_changes,rssi_changes,lac_changes,min_rsrp,max_rsrp,median_rsrp,min_rssi,max_rssi,median_rssi,hour_of_day,day_of_week,res_dl_kbps
0,450,89470000160204053434,1516701667.0,1516701694.0,60.184452,11.195408,19.8164,30530.245537851988,13836.539973360257,27208788,30235907,2,5,14,60.183579780506804,11.195508438011998,Oslo - Eidsvoll,1516701667,1516701694,89470000160204053434,27,10.316258192062376,24201,24201,0,0,0,0,1,1,0,-83.0,-81.0,-82.0,-59,-57,-58.0,10,1,30530.245537851988
1,456,89470000160204125521,1499840316.0,1499840348.0,60.133219999999994,11.165837,89.4516,36395.041926,5029.44614,72356023,39873909,2,5,20,60.1323227591813,11.1647437575114,Oslo - Eidsvoll,1499840316,1499840348,89470000160204125521,32,10.518412351608275,24201,24201,0,0,0,0,2,2,0,-89.0,-84.0,-85.0,-62,-58,-62.0,6,2,36395.041926
2,456,8947080038000093127,1504432938.0,1504432977.0,60.155929,11.181797999999999,28.1504,14532.886343,436.297268,54922437,44332934,2,5,17,60.157431924666994,11.1820086807672,Oslo - Eidsvoll,1504432938,1504432977,8947080038000093127,39,11.99692702293396,24202,24202,0,0,0,0,3,3,0,-104.0,-98.0,-102.0,-80,-71,-78.0,10,6,14532.886343
3,456,89470000160204125521,1504433010.0,1504433037.0,60.15334300000001,11.181258,54.4488,37006.1702,9601.457029000001,37823521,34234556,2,5,17,60.157431924666994,11.1820086807672,Oslo - Eidsvoll,1504433010,1504433037,89470000160204125521,27,11.345267295837402,24201,24201,0,0,0,0,2,2,0,-99.0,-97.0,-98.0,-74,-69,-71.0,10,6,37006.1702
4,456,8947080038000093127,1504886533.0,1504886561.0,60.15654,11.18188,7.5932,22276.091881,5192.263338000001,47571305,32101717,2,5,17,60.157431924666994,11.1820086807672,Oslo - Eidsvoll,1504886533,1504886561,8947080038000093127,28,10.952281951904297,24202,24202,0,0,0,0,3,3,0,-96.0,-89.0,-94.0,-76,-64,-69.5,16,4,22276.091881
5,456,89470000160204125521,1505124134.0,1505124178.0,60.215435,11.182727,129.64,31456.807775,53.922695999999995,34269638,26871297,2,5,10,60.2192231468297,11.181182436368198,Oslo - Eidsvoll,1505124134,1505124178,89470000160204125521,44,10.101880073547363,24201,24201,0,0,0,0,2,2,0,-123.0,-119.0,-122.0,-91,-88,-89.0,10,0,31456.807775
6,456,8947080038000093127,1505167338.0,1505167374.0,60.214831000000004,11.183069,130.1956,3632.053008,9939.257042,44844276,40875151,2,5,10,60.2192231468297,11.181182436368198,Oslo - Eidsvoll,1505167338,1505167374,8947080038000093127,36,10.639435052871702,24202,24202,0,0,0,0,3,3,0,-100.0,-82.0,-89.0,-75,-55,-61.0,22,0,3632.053008
7,456,8947080038000093127,1506420138.0,1506420167.0,60.159985999999996,11.182469000000001,90.3776,19604.242854,4870.961967,34850672,29354442,2,5,17,60.157431924666994,11.1820086807672,Oslo - Eidsvoll,1506420138,1506420167,8947080038000093127,29,10.849347829818726,24202,24202,0,0,0,0,2,1,0,-105.0,-100.0,-102.0,-78,-71,-71.0,10,1,19604.242854
8,456,8947080038000093127,1507101553.0,1507101586.0,60.141587,11.176725,28.8912,6416.493314,15623.969578999999,33258678,39947738,2,5,19,60.1395191414045,11.1757038253719,Oslo - Eidsvoll,1507101553,1507101586,8947080038000093127,33,15.002827644348145,24202,24202,2,0,0,0,3,3,0,-105.0,-92.0,-93.5,-72,-63,-65.0,7,2,6416.493314
9,456,8947080038000093127,1507144751.0,1507144778.0,60.13969300000001,11.175811999999999,46.1148,78361.285177,11016.547767,32851530,40557121,2,5,19,60.1395191414045,11.1757038253719,Oslo - Eidsvoll,1507144751,1507144778,8947080038000093127,27,10.655209064483644,24202,24202,0,0,0,0,3,1,0,-107.0,-102.0,-104.5,-80,-77,-77.0,19,2,78361.285177
10,558,8947080038000121829,1515708069.0,1515708100.0,60.18459300000001,11.195265,30.1876,12301.930949903559,18606.105177930523,26742434,29285987,2,5,14,60.183579780506804,11.195508438011998,Oslo - Eidsvoll,1515708069,1515708100,8947080038000121829,31,10.318655252456663,24202,24202,0,0,0,0,2,2,0,-77.0,-75.0,-76.0,-52,-46,-50.5,22,3,12301.930949903559
11,558,89470000160905522042,1515708118.0,1515708146.0,60.191722999999996,11.191755,98.5264,6049.141271020326,13291.873603368145,25268518,30104016,2,5,13,60.192448691782,11.191600246486301,Oslo - Eidsvoll,1515708118,1515708146,89470000160905522042,28,11.50465178489685,24201,24201,0,0,0,0,3,2,0,-98.0,-94.0,-96.0,-74,-66,-67.0,22,3,6049.141271020326
12,558,89470000160905522042,1516010515.0,1516010544.0,60.183453,11.195627,34.8176,17270.479971065648,10758.418678650367,70928090,27380394,2,5,14,60.183579780506804,11.195508438011998,Oslo - Eidsvoll,1516010515,1516010544,89470000160905522042,29,11.743504524230955,24201,24201,0,0,0,0,2,1,0,-90.0,-87.0,-89.0,-62,-60,-62.0,10,0,17270.479971065648
13,558,8947080038000121829,1516096872.0,1516096898.0,60.144488,11.178,37.7808,48037.40397712536,35825.247248641914,50769924,28521468,2,5,18,60.1483984434099,11.1797301020368,Oslo - Eidsvoll,1516096872,1516096898,8947080038000121829,26,10.174885034561155,24202,24202,0,0,0,0,2,2,0,-106.0,-88.0,-101.0,-77,-62,-70.0,10,1,48037.40397712536
14,566,89470000160905522000,1516377714.0,1516377747.0,60.18022,11.195603,39.6328,3605.9806665861515,8213.842528785579,39499294,40456500,2,5,14,60.183579780506804,11.195508438011998,Oslo - Eidsvoll,1516377714,1516377747,89470000160905522000,33,13.513170719146727,24201,24201,1,0,0,0,1,2,0,-96.0,-94.0,-94.0,-65,-63,-64.0,16,4,3605.9806665861515
15,566,8947080038000121860,1516788071.0,1516788113.0,60.18493,11.19518,36.6696,575.2999841567238,1469.499005533367,87754645,81834714,2,5,14,60.183579780506804,11.195508438011998,Oslo - Eidsvoll,1516788071,1516788113,8947080038000121860,42,17.659990072250363,24202,24202,3,0,0,0,2,2,0,-107.0,-104.0,-105.0,-79,-73,-76.0,10,2,575.2999841567238
16,566,89470000160905522000,1516788136.0,1516788165.0,60.18381,11.195418,31.484,17795.460756596352,10897.459919059736,51899143,22988232,2,5,14,60.183579780506804,11.195508438011998,Oslo - Eidsvoll,1516788136,1516788165,89470000160905522000,29,12.4385085105896,24201,24201,0,0,0,0,3,3,0,-81.0,-75.0,-79.0,-58,-46,-52.0,10,2,17795.460756596352
17,566,8947080038000121860,1516960867.0,1516960896.0,60.18626999999999,11.194833000000001,39.818,19112.74886107304,9480.203516902442,22607345,24921686,2,5,14,60.183579780506804,11.195508438011998,Oslo - Eidsvoll,1516960867,1516960896,8947080038000121860,29,10.38728666305542,24202,24202,0,0,0,0,2,2,0,-77.0,-74.0,-76.0,-55,-50,-50.0,10,4,19112.74886107304
18,566,89470000160905522000,1516960913.0,1516960950.0,60.194058,11.191267,94.8224,2157.733536846947,6819.249132070222,23691727,28566166,2,5,13,60.192448691782,11.191600246486301,Oslo - Eidsvoll,1516960913,1516960950,89470000160905522000,37,18.64931297302246,24201,24201,2,0,0,0,3,3,0,-104.0,-91.0,-101.0,-72,-60,-67.0,10,4,2157.733536846947
19,566,8947080038000121860,1517004068.0,1517004096.0,60.192455,11.19161,82.9696,6477.0990873775045,13050.242191454634,34699977,23695903,2,5,13,60.192448691782,11.191600246486301,Oslo - Eidsvoll,1517004068,1517004096,8947080038000121860,28,10.444831371307373,24202,24202,1,0,0,0,2,2,0,-83.0,-80.0,-81.0,-55,-51,-53.5,22,4,6477.0990873775045
20,566,8947080038000121860,1517068877.0,1517068922.0,60.173317000000004,11.191405,113.898,1699.1113608828298,1476.2779523045251,31133277,22179659,2,5,15,60.17470148552171,11.1926900138862,Oslo - Eidsvoll,1517068877,1517068922,8947080038000121860,45,11.23282241821289,24202,24202,1,0,0,0,1,0,0,-94.0,-90.0,-94.0,-63,-63,-63.0,16,5,1699.1113608828298
21,566,89470000160905522000,1517068945.0,1517068974.0,60.160303000000006,11.182518,101.86,47382.08862917354,4833.205884007352,37937205,42326338,2,5,17,60.157431924666994,11.1820086807672,Oslo - Eidsvoll,1517068945,1517068974,89470000160905522000,29,10.750408172607422,24201,24201,1,0,0,0,2,2,0,-87.0,-81.0,-86.0,-59,-55,-56.0,16,5,47382.08862917354
